accessories,Competition,Global Monthly Searches,Local Monthly Searches (United States),0.1
fertility,0.23,301000,165000,1.17
festivals,0.35,823000,673000,1.17
filipino restaurant,0.79,16600000,7480000,1.17
film production,0.17,6600,2900,1.17
financial advising,0.41,201000,135000,1.18
financial services,0.31,165000,90500,1.18
fire departments,0.65,1830000,1220000,1.18
fireworks,0.7,1830000,823000,1.18
first aid classes,0.09,823000,673000,1.19
fish and chips,0.18,74000,33100,1.19
fishing,0.2,33100,9900,1.19
fitness,0.12,6120000,1220000,1.19
flea markets,0.86,368000,246000,1.19
flight instruction,0.08,12100,1900,1.19
flooring,0.32,1830000,1000000,1.19
florists,0.89,368000,201000,1.2
flowers,0.74,2240000,1000000,1.2
flowers and gifts,1,673000,450000,1.2
fondue,0.16,1220000,823000,1.2
food,0.42,27100,14800,1.2
food court,0.48,40500,18100,1.21
food delivery services,0.6,110000,60500,1.21
food stands,0.32,1000000,550000,1.21
food trucks,0.32,301000,165000,1.21
formal wear,0.26,301000,27100,1.21
framing,0.77,6600,6600,1.21
free diving,0.77,1000000,823000,1.21
french restaurant,0.66,673000,301000,1.21
french southwest,0.19,13600000,7480000,1.22
friterie,0.36,74000,27100,1.22
friulan,0.12,90500,74000,1.22
frozen yogurt,0.23,27100,22200,1.22
fruits and veggies,0.04,246000,201000,1.23
fun fair,0.04,22200,12100,1.23
funeral services,0.44,1500000,550000,1.23
furniture reupholstery,0.59,368000,246000,1.23
furniture stores,0.58,368000,201000,1.23
fuzhou restaurant,0.26,823000,550000,1.24
galician restaurant,0.08,823000,246000,1.24
garage door services,0.08,74000,49500,1.24
gardeners,0.08,90500,40500,1.24
gardening,0.64,301000,201000,1.24
gas stations,0.38,90500,74000,1.25
gastroenterologist,0.23,201000,165000,1.25
gastropubs,0.13,823000,368000,1.25
gay bars,0.13,8100,1600,1.25
gelato,0.1,5400,3600,1.25
general dentistry,0.41,246000,135000,1.25
general festivals,0.11,135000,60500,1.25
general litigation,0.11,1000000,450000,1.25
georgian restaurant,0.48,60500,49500,1.26
german restaurant,0.11,480,170,1.26
gerontologists,0.05,60500,9900,1.27
giblets,0.86,16600000,9140000,1.27
gift shops,0.21,823000,550000,1.27
gliding,0.18,90500,60500,1.27
gluten-free,0.55,74000,33100,1.28
go karts,0.34,60500,27100,1.28
golf,0.03,1600,590,1.28
golf equipment,0.97,2740000,1220000,1.28
golf equipment shops,0.3,13600000,2240000,1.28
government,0.72,246000,90500,1.28
gozleme,0.23,1830000,1000000,1.28
graphic design,0.9,2740000,1500000,1.28
greek restaurant,0.88,22200,14800,1.28
grocery,0.09,60500,18100,1.29
guest houses,0.44,165000,27100,1.29
gun ranges,0.43,45500000,11100000,1.29
guns and ammo,0.28,1500000,823000,1.29
gymnastics,0.03,5000000,2240000,1.29
gyms,0.05,49500,33100,1.3
hair extensions,0.66,24900000,7480000,1.3
hair removal,0.85,7480000,1830000,1.3
hair salon for men,0.34,823000,450000,1.3
hair salons,0.36,823000,301000,1.3
hair stylists,0.47,110000,90500,1.3
haitian restaurant,0.23,74000,40500,1.3
hakka restaurant,0.11,110000,49500,1.31
halal,0.31,3350000,1830000,1.31
handyman,0.44,368000,90500,1.32
hang gliding,0.06,673000,450000,1.33
hardware stores,0.06,368000,135000,1.33
hats,0.1,74000,49500,1.33
hawaiian restaurant,0.35,1220000,450000,1.33
health and medical,0.35,450000,135000,1.33
health clinic,0.78,1900,1600,1.33
health markets,0.04,8100,880,1.34
hearing aid providers,0.12,49500,22200,1.34
hearing aids,0.05,1900,1000,1.34
heating and air conditioning,0.37,368000,165000,1.34
henghwa,0.12,201000,110000,1.34
herbs and spices,0.2,3350000,1220000,1.34
hessian,0.26,2240000,1220000,1.34
high schools,0.19,823000,673000,1.34
hiking,0.67,246000,90500,1.34
himalayan/nepalese restaurant,0.08,6600,210,1.35
hindu temples,0.35,1000000,550000,1.35
historical buildings,0.24,6600,5400,1.35
hobby shops,0.37,45500000,24900000,1.35
hokkien restaurant,0.08,450000,201000,1.35
holistic,0.33,368000,165000,1.35
home and garden,0.14,1220000,368000,1.36
home cleaning,0.16,390,210,1.36
home decor,0.4,37200000,6120000,1.36
home health care,0.27,2740000,1000000,1.37
home inspectors,0.47,3350000,2240000,1.37
home organization,0.47,1000000,673000,1.37
home services,0.03,22200,1900,1.37
home staging,0.09,823000,301000,1.37
home theatre installation,0.07,301000,110000,1.37
home window tinting,0.14,9900,3600,1.37
hookah bars,0.05,165000,90500,1.38
horse boarding,0.02,9900,8100,1.38
horse racing,0.66,5000000,2240000,1.38
horseback riding,0.21,1000000,673000,1.38
hospice,0.09,2740000,301000,1.39
hospitals,1,135000,90500,1.39
hostels,0.13,49500,33100,1.39
hot air balloons,0.2,6120000,3350000,1.39
hot dogs,0.01,1500000,246000,1.4
hot pot,0.42,8100,170,1.4
hot tub and pool,0.98,74000,33100,1.41
hotel bar,0.08,9900,5400,1.41
hotels,0.14,6600,4400,1.41
hungarian restaurant,0.11,22200,14800,1.41
hvac,0.13,110000,60500,1.42
iberian restaurant,0.04,6600,1600,1.42
ice cream,0.15,18100,14800,1.42
immigration law,0.03,90500,14800,1.43
indian restaurant,0.32,5000000,1220000,1.43
indonesian restaurant,0.13,74000,40500,1.43
indoor playcentre,0.16,8100,3600,1.43
instruction,0.12,2240000,1000000,1.44
insurance,0.01,74000,33100,1.44
interior design,0.34,101000000,24900000,1.44
internal medicine,0.31,2240000,1830000,1.44
international restaurant,0.18,110000,74000,1.45
internet cafes,0.62,673000,450000,1.45
internet service providers,0.12,165000,110000,1.45
investing,0.57,6120000,673000,1.45
irish pub,0.04,6600,720,1.45
irish restaurant,0.13,33100,27100,1.45
irrigation,0.12,301000,60500,1.45
island pub,0.17,2240000,1000000,1.46
israeli restaurant,0.04,18100,2400,1.46
it services,0.23,6120000,3350000,1.46
italian restaurant,0.25,673000,368000,1.47
izakaya restaurant,0.06,165000,90500,1.47
japanese restaurant,0.01,1600,720,1.47
